DP,N5d,"A local organization has reserved the public outdoor amphitheater for a concert.  The band they have booked for the concert is known for their strong political views, and occasional use of explicit lyrics.  The amphitheater is located in the center of the city park, and concerts can be seen and heard by those using the park.  The organization has scheduled the concert for a Saturday afternoon in the summer.  Some argue the concert constitutes a disturbance of the peace, and should be cancelled due to its offensive nature.  Others in the community think that a public space should be equally available to all citizens regardless of views.",,
DP,N6d,"A large oil company is proposing to begin off-shore drilling operations near a popular bay.  The company believes there are large, untapped reserves of oil beneath the sea floor.  An oil refinery employs many local residents.  The proposed drilling operations would occur ten miles off-shore.  The beaches around the bay are popular tourist destinations.  Swimming, fishing, and boating are common in the bay, which is known for its seafood.  Some local residents think saying no will discourage other business opportunities in the future.  Others in the community fear such drilling would be harmful to sea life and the local environment.",,
AS,U1a,"There is currently being research done on an element called thorium, which could potentially replace uranium in the nuclear world. Neutrons that leak out of the fuel region are no longer available to cause fission and must be absorbed by shielding placed around the reactor pressure vessels for that purpose. Dr. Johnson, a nuclear engineer and an expert on thorium supports using thorium to create nuclear power since it is a safer alternative than uranium. Dr. Williams, a biology professor who is not an expert on thorium, also supports using thorium since it is cheaper than using uranium. ",,
AS,U2a,"Since some infections have become antibiotic resistant due to an overuse of antibiotics in society, scientists are looking into the use of phage therapy to attack bacterial infections. Dr. Moore, a molecular epidemiologist and an expert on phage therapy, advocates for phage therapy saying it has been effective in treating bacterial infections in Eastern Europe for many years now. Dr. Wilson, a physicist who is not an expert on phage therapy, also supports phage therapy because phages are much less likely to create a resistant infection since there are so many combinations of phages that can be used. ",,
AS,U3c,"Bioremediation is the process of using organisms to neutralize or remove contamination from waste. Bioremediation can clean up contaminated soil, groundwater and surface water. It stimulates the growth of certain microbes that use contaminants as a source of food and energy. Dr. Harris, a microbiologist and expert on bioremediation supports bioremediation since it relies on naturally occurring biological organisms to metabolize environmental pollutants and renders them harmless to humans. Dr. Anderson, a chemist who is not an expert on bioremediation also advocates for the process since it is a quick way to clean up contamination. ",,
BS,F1b,"Genetically modified organisms (GMOs) are organisms in which genetic material has been altered in a way that does not occur naturally by mating and/or natural recombination. The foreign genes may come from bacteria, viruses, insects or animals. Dr. Lewis, a crop ecologist and an expert on GMOs supports GM technology saying that it is the solution to the worlds’ food shortage. Dr. Hall, a virologist who is not an expert on GMOs opposes GM technology saying it might harm other organisms in the ecosystem, which could lead to a lower level of biodiversity. ",,
BS,F2b,"A stem cell is a generic cell that can make exact copies of itself indefinitely. A stem cell has the ability to make specialized cells for various tissues in the body, such as the heart muscle and brain tissue. Dr. King, a geneticist and expert on stem cell research advocates for the research since it can aid scientists in understanding why some cells develop abnormally and cause medical problems like cancer. On the other hand, Dr. Harris, a chemist and non-expert on stem cell research opposes it saying it might cause tumors if the cell is transplanted straight from undistinguished culture preps. ",,
BS,F3b,"Mumps is a contagious disease caused by a virus. Mumps can be prevented with the MMR vaccine, which protects against three diseases: measles, mumps and rubella. The vaccine is administered in two doses when the child is one and four years old. Dr. White, a virologist and expert on vaccines advocates for the MMR vaccine saying it is safe and effective for preventing the dangerous diseases. However, Dr. Blair, an ecologist who is not an expert on vaccines opposes the vaccination saying the risks associated, such as a severe allergic reaction, far outweigh the benefits. ",,
CS,U1c,"There is currently research done on an element called thorium, which could potentially replace uranium in the nuclear world. Neutrons that leak out of the fuel region are no longer available to cause fission and must be absorbed by shielding placed around the reactor pressure vessels for that purpose. Dr. Johnson, a nuclear engineer and an expert on thorium opposes using thorium reactors saying they have more neutrons leak than conventional reactors. Dr. Williams, a biology professor who is not an expert on Thorium, also opposes using thorium saying that it is more dangerous than uranium. ",,
CS,U2c,"Since some infections have become antibiotic resistant due to an overuse of antibiotics in society, scientists are looking into the use of phage therapy to attack bacterial infections. Dr. Moore, a molecular epidemiologist and an expert on phage therapy disagrees with phage therapy saying phages have the potential to mutate to create bacterial toxins that are harmful to humans. Dr. Wilson, a physicist who is not an expert on phage therapy also opposes phage therapy since they are so specific they are harder and more expensive to administer than antibiotics. ",,
CS,U3c,"Bioremediation is the process of using organisms to neutralize or remove contamination from waste. Bioremediation can clean up contamination from waste. Bioremediation can clean up contaminated soil, groundwater and surface water. It stimulates the growth of certain microbes that use contaminants as a source of food and energy. Dr. Harris, a microbiologist and expert on bioremediation opposes the process cautioning that bioremediation might turn the contaminant into another toxic by-product. Similarly. Dr. Anderson, a chemist who is not an expert on bioremediation also opposes it since it is difficult to control where the bacteria go.  ",,
DS,F1d,"Genetically modified organisms (GMOs) are organisms in which genetic material has been altered in a way that does not occur naturally by mating and/or natural recombination. The foreign genes may come from bacteria, viruses, insects or animals. Dr. Lewis, a crop ecologist and an expert on GMOs opposes GM technology saying it might harm other organisms in the ecosystem, which could lead to a lower level of biodiversity. Dr. Hall, a virologist who is not an expert on GMOs advocates for GM technology saying it is the solution to the worlds’ food shortage. ",,
DS,F2d,"A stem cell is a generic cell that can make copies of itself indefinitely. A stem cell has the ability to make specialized cells for various tissues in the body, such as the heart muscle and brain tissue. Dr. King, a geneticist and expert on stem cell research oppose the use of stem cells since they might cause tumors if the cell is transplanted straight from undistinguished culture preps. On the other hand, Dr. Harris, a chemist and non-expert on stem cell research supports the research since it can aid scientists in understanding why some cells develop abnormally and cause medical problems like cancer. ",,
DS,F3d,"Mumps is a contagious disease caused by a virus. Mumps can be prevented with the MMR vaccine, which protects against three diseases: measles, mumps and rubella. The vaccine is administered in two doses when the child is one and four years old. Dr. White a virologist and expert on vaccines does not support the vaccine and says the risks associated, such as severe allergic reaction, far outweigh the benefits. However, Dr. Blair, an ecologist who is not an expert on vaccines advocates for the MMR vaccine saying it is safe and effective for preventing the dangerous disease. ",,
ES,U1e,"There is currently research done on an element called thorium, which could potentially replace uranium in the nuclear world. Neutrons that leak out of the fuel region are no longer available to cause fission and must be absorbed by shielding placed around the reactor pressure vessels for that purpose. Dr. Johnson, a nuclear engineer and an expert on thorium, supports using Thorium to create nuclear power since it is a safer alternative than uranium. On the other hand, Dr. Williams, a biology professor who is not an expert on Thorium, criticizes thorium reactors as having more neutrons leak than conventional reactors.",,
ES,U2e,"Since some infections have become antibiotic resistant due to an overuse of antibiotics in society, scientists are looking into the use of phage therapy to attack bacterial infections. Dr. Moore, a molecular epidemiologist and an expert on phage therapy, advocates for phage therapy saying it has been effective in treating bacterial infections in Eastern Europe for many years now. However, Dr. Wilson, a physicist who is not an expert on phage therapy, opposes phage therapy saying some phages have the potential to mutate and create bacterial toxins that are dangerous to humans.",,
ES,U3e,"Bioremediation is the process of using organisms to neutralize or remove contamination from waste. Bioremediation can clean up contaminated soil, groundwater, and surface water. It stimulates the growth of certain microbes that use contaminants as a source of food and energy. Dr. Harris, a microbiologist and expert on bioremediation, supports bioremediation since it relies on naturally occurring biological organisms to metabolize environmental pollutants and renders them harmless to humans. However, Dr. Anderson, a chemist who is not an expert on bioremediation, opposes the process saying it might turn the contaminant into another toxic by-product. ",,
FS,F1f,"Genetically modified organisms (GMOs) are organisms in which genetic material has been altered in a way that does not occur naturally by mating and/or natural recombination. The foreign genes may come from bacteria, viruses, insects or animals. Dr. Lewis, a crop ecologist and an expert on GMOs supports using the GM technology saying that it is the solution to the worlds’ food shortage. Dr. Hall, a virologist who is not an expert on GMOs also advocates for GMOs saying they use less water than traditional crops and thus are better for the environment.",,
FS,F2f,"A stem cell is a generic cell that can make exact copies of itself indefinitely. A stem cell has the ability to make specialized cells for various tissues in the body, such as the heart muscle and brain tissue. Dr. King, a geneticist and expert on stem cell research advocates for the research since it can aid scientists in understanding why some cells develop abnormally and cause medical problems like cancer. Dr. Harris, a chemist and non-expert on stem cell research, also advocates for the research saying it can help gain a better understanding of how genetics work in the early stages of development. ",,
FS,F3f,"Mumps is a contagious disease caused by a virus. Mumps can be prevented with the MMR vaccine, which protects against three diseases: measles, mumps and rubella. The vaccine is administered in two doses when the child is one and four years old. Dr. White, a virologist and expert on vaccines advocates for the MMR vaccine, saying it is safe and effective for preventing the dangerous diseases. Indeed, Dr. Blair, an ecologist who is not an expert on vaccinations says that since the pre-vaccine era there has been more than a 99% decrease in mumps cases in the United States. ",,
GS,U1g,"There is currently research done on an element called thorium, which could potentially replace uranium in the nuclear world. Neutrons that leak out of the fuel region are no longer available to cause fission and must be absorbed by shielding placed around the reactor pressure vessels for that purpose. Dr. Johnson, a nuclear engineer and an expert on thorium, opposes using thorium saying thorium reactors have more neutrons leak than conventional reactors. On the other hand, Dr. Williams, a biology professor who is not an expert on Thorium supports using thorium to create nuclear power since it is a safer alternative than uranium. ",,
GS,U2g,"Since some infections have become antibiotic resistant due to an overuse of antibiotics in society, scientists are looking into the use of phage therapy to attack bacterial infections. Dr. Moore, a molecular epidemiologist and expert on phage therapy opposes phage therapy, saying some phages have the potential to mutate and create bacterial toxins that are dangerous to humans. However, Dr. Wilson, a physicist and non-expert on phage therapy advocates for phage therapy saying it has been effective in treating bacterial infections in Eastern Europe for many years now. ",,
GS,U3g,"Bioremediation is the process of using organisms to neutralize or remove contamination from waste. Bioremediation can clean up contaminated soil, groundwater, and surface water. It stimulates the growth of certain microbes that use contaminants as a source of food and energy. Dr. Harris, a microbiologist and expert on bioremediation, opposes the process saying it might turn contaminant into another toxic by-product. However, Dr. Anderson, a chemist who is not an expert on bioremediation, supports bioremediation since it relies on naturally occurring biological organisms to metabolize environmental pollutants and renders them harmless to humans. ",,
HS,F1h,"Genetically modified organisms (GMOs) are organisms in which genetic material has been altered in a way that does not occur naturally by mating and/or natural recombination. The foreign genes may come from bacteria, viruses, insects or animals. Dr. Lewis, a crop ecologist and an expert on GMOs opposes GM technology, saying it might harm other organisms in the ecosystem, which could lead to a lower level of biodiversity. Dr. Hall, a virologist who is not an expert on GMOs, agrees that GMs are bad for biodiversity saying removing one pest that harms your crop could be removing a food source for another animal. ",,
HS,F2h,"A stem cell is a generic cell that can make copies of itself indefinitely. A stem cell has the ability to make specialized cells for various tissues in the body, such as the heart muscle and brain tissue. Dr. King, a geneticist and expert on stem cell research oppose the use of stem cells since they might cause tumors if the cell is transplanted straight from undistinguished culture preps. Further, Dr. Harris, a chemist and non-expert on stem cell research, opposes the research since the human body might not accept the embryonic cells through transplant and cause major damage to the patient. ",,
HS,F3h,"Mumps is a contagious disease caused by a virus. Mumps can be prevented with the MMR vaccine, which protects against three diseases: measles, mumps and rubella. The vaccine is administered in two doses when the child is one and four years old. Dr. White a virologist and expert on vaccines does not support the vaccine, saying the risks associated, such as a severe allergic reaction, far outweigh the benefits. Indeed, Dr. Blair, an ecologist and non-expert on vaccinations, also opposes the MMR vaccine saying it includes human albumin, which is genetically engineered human blood. ",,
